id_programa,nombre_programa,id_area,area_conocimiento_original
52,"CONOCIMIENTOS ACADÉMICOS EN FORMACIÓN  PARA LA INCLUSIÓN SOCIO OCUPACIONAL DE NIÑOS, ADOLESCENTES Y ADULTOS CON  NECESIDADES EDUCATIVAS ESPECIALES",17,No especificada
53,TÉCNICO LABORAL EN DISEÑADORES GRAFICOS Y DIBUJANTES ARTISTICOS,22,VENTAS Y SERVICIOS
54,TÉCNICO LABORAL POR COMPETENCIAS EN ASISTENTE TURÍSTICO,3,VENTAS Y SERVICIOS
55,CONOCIMIENTOS ACADÉMICOS EN INGLES A1,28,No especificada
56,TÉCNICO LABORAL POR COMPETENCIA EN ASISTENTE ADMINISTRATIVO,1,FINANZAS Y ADMINISTRACIÓN
57,OFIMATICA EMPRESARIAL,1,CIENCIAS NATURALES APLICADAS Y RELACIONADAS
58,TÉCNICO LABORAL EN PELUQUERÍA,3,VENTAS Y SERVICIOS
59,TÉCNICO LABORAL POR COMPETENCIA EN ECOTURISMO Y GUÍA TURISTICO,4,VENTAS Y SERVICIOS
60,TÉCNICO LABORAL POR COMPETENCIAS EN LOGISTICA COMERCIAL,3,"OFICIOS, OPERACIÓN DE EQUIPO Y TRANSPORTE"
61,TÉCNICO LABORAL POR COMPETENCIAS EN SISTEMAS,8,"OFICIOS, OPERACIÓN DE EQUIPO Y TRANSPORTE"
62,TÉCNICO LABORAL EN AUXILIAR EN ENFERMERÍA,13,SALUD
63,TÉCNICO LABORAL EN AUXILIAR ADMINISTRATIVO,1,FINANZAS Y ADMINISTRACIÓN
64,CONOCIMIENTOS ACADÉMICOS EN INGLES  NIVEL A1 ELEMENTAL,28,No especificada
65,TÉCNICO LABORAL POR COMPETENCIA EN AUXILIAR BANCARIO Y COMERCIAL,2,FINANZAS Y ADMINISTRACIÓN
66,CONOCIMIENTOS ACADÉMICOS EN CASTELLANO COMO LENGUA EXTRANJERA NIVEL A1 A2 B1 B2 (EL ALCANZADO),28,No especificada
67,TÉCNICO LABORAL POR COMPETENCIAS EN ASISTENCIA ADMINISTRATIVA,1,FINANZAS Y ADMINISTRACIÓN
68,TÉCNICO LABORAL EN PREPARACION DE ALIMENTOS,5,"PROCESAMIENTO, FABRICACIÓN Y ENSAMBLAJE"
69,TÉCNICO LABORAL EN AUXILIAR EN SERVICIOS FARMACÉUTICOS,7,SALUD
70,TÉCNICO LABORAL EN AUXILIAR DE ARCHIVISTICA,3,VENTAS Y SERVICIOS
71,CONOCIMIENTOS ACADÉMICOS EN SAXO,28,No especificada
72,TÉCNICO LABORAL EN ATENCIÓN INTEGRAL A LA PRIMERA INFANCIA,17,VENTAS Y SERVICIOS
73,TÉCNICO LABORAL EN MANTENIMIENTO ELECTRICO Y ELECTRONICO DE AUTOMOTORES,26,"OFICIOS, OPERACIÓN DE EQUIPO Y TRANSPORTE"
74,TÉCNICO LABORAL EN ASISTENTE EN SANEAMIENTO AMBIENTAL,14,CIENCIAS NATURALES APLICADAS Y RELACIONADAS
75,PRIMERA INFANCIA,17,VENTAS Y SERVICIOS
76,TÉCNICO LABORAL EN ATENCIÓN INTEGRAL A LA PRIMERA INFANCIA,17,"CIENCIAS SOCIALES, EDUCATIVAS,RELIGIOSAS Y SERVICIOS GUBERNAMENTALES"
77,TÉCNICO LABORAL EN ATENCIÓN INTEGRAL A LA PRIMERA INFANCIA,17,VENTAS Y SERVICIOS
78,CONOCIMIENTOS ACADÉMICOS EN FRANCES PREINTERMEDIO NIVEL B2,28,No especificada
79,OPERADOR LOGISTICO,25,"OFICIOS, OPERACIÓN DE EQUIPO Y TRANSPORTE"
80,TECNICO LABORAL POR COMPETENCIA EN AUXILIAR CONTABLE Y FINANCIERA,2,FINANZAS Y ADMINISTRACIÓN
81,DISEÑO DE MODAS Y PATRONAJE INDUSTRIAL,11,"ARTE, CULTURA, ESPARCIMIENTO Y DEPORTES"
82,CONOCIMIENTOS ACADÉMICOS EN IDIOMAS EXTRANJEROS,28,No especificada
83,TÉCNICO LABORAL EN OPERADOR DE MONTACARGAS,25,"OFICIOS, OPERACIÓN DE EQUIPO Y TRANSPORTE"
84,TÉCNICO LABORAL POR COMPETENCIA EN SECRETARIADO EJECUTIVO,1,FINANZAS Y ADMINISTRACIÓN
85,PELUQUERIA,6,VENTAS Y SERVICIOS
86,TÉCNICO LABORAL POR COMPETENCIA EN AUXILIAR EN SISTEMAS INFORMATICOS,8,CIENCIAS NATURALES APLICADAS Y RELACIONADAS
87,TÉCNICO LABORAL EN SISTEMAS Y MANTENIMIENTO DE COMPUTADORES,8,CIENCIAS NATURALES APLICADAS Y RELACIONADAS
88,CONOCIMIENTOS ACADÉMICOS EN INGLES PREINTERMEDIO NIVEL B1,28,No especificada
89,TECNICO LABORAL POR COMPETENCIAS EN SISTEMAS Y MANTENIMIENTO,8,CIENCIAS NATURALES APLICADAS Y RELACIONADAS
90,TÉCNICO LABORAL POR COMPETENCIA EN AUXILIAR DE COMERCIO EXTERIOR,1,FINANZAS Y ADMINISTRACIÓN
