id_programa,nombre_programa,id_area,area_conocimiento_original
5932,TÉCNICO LABORAL EN AUXILIAR DE PANADERÍA Y REPOSTERÍA,3,VENTAS Y SERVICIOS
5933,TÉCNICO LABORAL EN AUXILIAR CUIDADO DE NIÑOS,13,VENTAS Y SERVICIOS
5934,TÉCNICO LABORAL EN DISEÑO DE PÁGINAS WEB,8,"ARTE, CULTURA, ESPARCIMIENTO Y DEPORTES"
5935,TÉCNICO LABORAL EN COSMETOLOGÍA Y ESTÉTICA INTEGRAL,3,VENTAS Y SERVICIOS
5936,ASISTENTE CONTABLE Y FINANCIERO,2,FINANZAS Y ADMINISTRACIÓN
5937,TÉCNICO LABORAL EN AUXILIAR CONTABLE Y FINANCIERO,2,FINANZAS Y ADMINISTRACIÓN
5938,TÉCNICO LABORAL EN INTEGRACIÓN MULTIMEDIA,22,VENTAS Y SERVICIOS
5939,ASISTENTE INTEGRAL A LA PRIMERA INFANCIA,17,VENTAS Y SERVICIOS
5940,TÉCNICO LABORAL EN LOGISTICA MERCADEO,3,"OFICIOS, OPERACIÓN DE EQUIPO Y TRANSPORTE"
5941,TÉCNICO LABORAL EN PANADERÍA Y PASTELERIA,3,VENTAS Y SERVICIOS
5942,TÉCNICO LABORAL EN MANTENIMIENTO Y REPARACIÓN DE MOTOCICLETAS,27,VENTAS Y SERVICIOS
5943,TÉCNICO LABORAL EN DIGITADOR,3,VENTAS Y SERVICIOS
5944,CONOCIMIENTOS ACADÉMICOS EN PORTUGUÉS COMO LENGUA EXTRANJERA NIVEL AVANZADO B2,28,No especificada
5945,TÉCNICO LABORAL EN AUXILIAR EN SALUD ORAL,13,SALUD
5947,TECNICO LABORAL POR COMPETENCIAS EN MANTENIMIENTO DE EQUIPOS ELECTRONICOS PARA USO MASIVO,27,"OFICIOS, OPERACIÓN DE EQUIPO Y TRANSPORTE"
5948,CONOCIMIENTOS ACADÉMICOS EN ACTUACIÓN NIVEL II TRANSFORMACIÓN DEL ACTOR,20,"ARTE, CULTURA, ESPARCIMIENTO Y DEPORTES"
5949,TÉCNICO LABORAL POR COMPETENCIAS EN AUXILIAR DE MERCADO,3,VENTAS Y SERVICIOS
5950,TÉCNICO LABORAL POR COMPETENCIAS EN ADMINISTRACIÓN DE EMPRESAS,1,No especificada
5951,TÉCNICO LABORAL EN ASISTENCIA A LA PRIMERA INFANCIA,17,VENTAS Y SERVICIOS
5952,"CONOCIMIENTOS ACADÉMICOS EN PORTUGUES A1, A2, B1, B2",28,No especificada
5953,TÉCNICO LABORAL POR COMPETENCIAS AUXILIAR EN INSTRUMENTACIÓN INDUSTRIAL,11,"OFICIOS, OPERACIÓN DE EQUIPO Y TRANSPORTE"
5954,AUXILIAR EN ENFERMERIA,13,SALUD
5956,TÉCNICO LABORAL POR COMPETENCIA EN ANÁLISIS Y PROGRAMACIÓN DE COMPUTADORES,8,CIENCIAS NATURALES APLICADAS Y RELACIONADAS
5957,TÉCNICO LABORAL EN ASISTENTE DE JUZGADO Y TRIBUNALES,28,No especificada
5958,TECNICO LABORAL CONTABLE Y FINANCIERO,2,FINANZAS Y ADMINISTRACIÓN
5959,TÉCNICO LABORAL POR COMPETENCIA EN DISEÑO DE MODA,22,"ARTE, CULTURA, ESPARCIMIENTO Y DEPORTES"
5961,TECNICO LABORAL EN MECANICA DENTAL,26,VENTAS Y SERVICIOS
5962,TÉCNICO LABORAL EN FORMACIÓN Y ATENCIÓN INTEGRAL A LA PRIMERA INFANCIA,17,VENTAS Y SERVICIOS
5963,CONOCIMIENTOS ACADÉMICOS EN INGLÉS NIVEL B2,28,No especificada
5964,TÉCNICO LABORAL EN SALUD OCUPACIONAL,3,VENTAS Y SERVICIOS
5965,CONOCIMIENTOS ACADÉMICOS EN LENGUA EXTRANJERA PARA LA INTERNACIONALIZACIÓN NIVEL B2,28,No especificada
5966,TÉCNICO LABORAL POR COMPETENCIAS EN SISTEMA DE GESTIÓN DE LA SEGURIDAD Y SALUD EN EL TRABAJO,19,FINANZAS Y ADMINISTRACIÓN
5967,TECNICO LABORAL EN INVESTIGACION CRIMINALISTICA Y JUDICIAL,27,VENTAS Y SERVICIOS
5968,TÉCNICO LABORAL EN AUXILIAR SERVICIOS DE RECREACIÓN Y DEPORTE,7,"ARTE, CULTURA, ESPARCIMIENTO Y DEPORTES"
5969,CONOCIMIENTOS ACADÉMICOS EN LENGUA PROTUGUESA NIVEL PRE INTERMEDIO B1,28,No especificada
5970,TÉCNICO LABORAL EN SISTEMAS Y REDES,8,"OFICIOS, OPERACIÓN DE EQUIPO Y TRANSPORTE"
5971,TÉCNICO LABORAL POR COMPETENCIA DE PERFORACIÓN DE POZOS DE PETROLEO Y GAS,23,EXPLOTACIÓN PRIMARIA Y EXTRACTIVA
5972,TÉCNICO LABORAL EN ASISTENTE ADMINISTRATIVO,1,FINANZAS Y ADMINISTRACIÓN
5973,TÉCNICO LABORAL POR COMPETENCIA EN ATENCIÓN INTEGRAL A LA PRIMERA INFANCIA,17,VENTAS Y SERVICIOS
5974,TÉCNICO LABORAL EN ADMINISTRACION Y CONTABILIDAD,1,FINANZAS Y ADMINISTRACIÓN
5975,CONOCIMIENTOS ACADÉMICOS EN EL IDIOMA INGLES EN NIVEL B1+,28,No especificada
5976,TÉCNICO LABORAL EN SECRETARIADO BILINGUE,3,VENTAS Y SERVICIOS
5977,"CONOCIMIENTOS ACADÉMICOS EN INSPECCIÓN, ALISTAMIENTO Y OPERACIÓN DE VEHÍCULO LIVIANO",28,No especificada
5978,OPERACIONES DE CAJA Y SERVICIOS EN ALMACENES DE CADENA,7,VENTAS Y SERVICIOS
5979,TÉCNICO LABORAL EN SALUD AMBIENTAL,24,CIENCIAS NATURALES APLICADAS Y RELACIONADAS
5980,TÉCNICO LABORAL EN ASISTENTE EN DESARROLLO DE SOFTWARE,8,VENTAS Y SERVICIOS
5981,TÉCNICO LABORAL EN AUXILIAR CONTABLE Y FINANCIERO,2,FINANZAS Y ADMINISTRACIÓN
5982,TÉCNICO LABORAL ASISTENTE EN INVESTIGACION JUDICIAL Y CRIMINALISTICA,3,VENTAS Y SERVICIOS
5983,TÉCNICO LABORAL EN SISTEMAS,8,CIENCIAS NATURALES APLICADAS Y RELACIONADAS
5984,TECNICO LABORAL POR COMPETENCIA EN AUXILIAR EN SALUD PUBLICA,14,SALUD
5985,TÉCNICO LABORAL EN MANTENIMIENTO Y REBOBINADO DE MOTORES Y GENERADORES,26,VENTAS Y SERVICIOS
5986,TÉCNICO LABORAL EN AUXILIAR DE ARCHIVO Y REGISTRO,1,FINANZAS Y ADMINISTRACIÓN
5987,TÉCNICO LABORAL EN AUXILIAR DE ALMACÉN Y BODEGA,25,VENTAS Y SERVICIOS
5988,TÉCNICO LABORAL EN AUXILIAR EN CONVENCIONES Y EVENTOS,3,VENTAS Y SERVICIOS
5989,TRANSITO Y TRANSPORTE Y SEGURIDAD VIAL,19,"OFICIOS, OPERACIÓN DE EQUIPO Y TRANSPORTE"
5990,CONOCIMIENTOS ACADÉMICOS EN INGLES INDEPENDIENTE NIVEL B1 UMBRAL,28,No especificada
5991,TÉCNICO LABORAL EN TRADUCTOR E INTERPRETE EN INGLES,28,VENTAS Y SERVICIOS
5992,CONOCIMIENTOS ACADÉMICOS EN INGLES B2,28,No especificada
5993,TÉCNICO LABORAL EN OBREROS Y AYUDANTES DE PLANTA QUÍMICA,25,"OFICIOS, OPERACIÓN DE EQUIPO Y TRANSPORTE"
5994,TÉCNICO LABORAL EN SERVICIO DE ADMINISTRACIÓN DE DOCUMENTOS Y ARCHIVOS,1,FINANZAS Y ADMINISTRACIÓN
5995,TÉCNICO LABORAL  POR COMPETENCIAS EN ATENCIÓN A LA PRIMERA INFANCIA,17,VENTAS Y SERVICIOS
5996,TÉCNICO LABORAL EN AUXILIAR EN PREESCOLAR,17,VENTAS Y SERVICIOS
5997,TECNICO LABORAL EN SECRETARIA AUXILIAR CONTABLE,2,FINANZAS Y ADMINISTRACIÓN
5998,CONOCIMIENTOS ACADÉMICOS EN CANTAUTOR,28,No especificada
6000,TECNICO LABORAL EN MERCADEO Y VENTAS,3,VENTAS Y SERVICIOS
6001,TECNICO LABORAL POR COMPETENCIAS EN ATENCION A LA PRIMERA INFANCIA,7,"CIENCIAS SOCIALES, EDUCATIVAS,RELIGIOSAS Y SERVICIOS GUBERNAMENTALES"
6002,TÉCNICO LABORAL POR COMPETENCIAS EN SEGURIDAD OCUPACIONAL,19,CIENCIAS NATURALES APLICADAS Y RELACIONADAS
6003,TÉCNICO LABORAL POR COMPETENCIAS EN SISTEMAS INFORMATICOS,8,CIENCIAS NATURALES APLICADAS Y RELACIONADAS
6004,TÉCNICO LABORAL EN CHEF DE ALTA COCINA,5,VENTAS Y SERVICIOS
6005,CONOCIMIENTOS ACADÉMICOS EN INGLES CONVERSACIONAL,28,No especificada
6006,TÉCNICO LABORAL EN COCINA,5,VENTAS Y SERVICIOS
6007,CONOCIMIENTOS ACADÉMICOS EN INGLES NIVEL B2,28,No especificada
6008,"TECNICO LABORAL POR COMPETENCIAS EN LOCUCION PARA RADIO, PRESENTACION DE TELEVISION Y PERIODISMO",27,"ARTE, CULTURA, ESPARCIMIENTO Y DEPORTES"
6009,TÉCNICO LABORAL EN COCINA,5,VENTAS Y SERVICIOS
6010,TÉCNICO LABORAL EN ASISTENCIA A LA PRIMERA INFANCIA,17,VENTAS Y SERVICIOS
6011,TÉCNICO LABORAL EN AUXILIAR DE MERCADEO Y VENTAS,3,FINANZAS Y ADMINISTRACIÓN
6012,TÉCNICO LABORAL EN MANTENIMIENTO DE MOTOS,27,FINANZAS Y ADMINISTRACIÓN
6014,"CONOCIMIENTOS ACADÉMICOS EN DISEÑO WEB, BASES DE DATOS Y PROGRAMACION",8,No especificada
6015,TÉCNICO LABORAL POR COMPETENCIAS EN AUXILIAR CONTABLE,2,FINANZAS Y ADMINISTRACIÓN
6016,CONOCIMIENTOS ACADÉMICOS EN INGLES B1,28,No especificada
6017,TÉCNICO LABORAL EN AUXILIAR CONTABLE Y FINANCIERO,2,FINANZAS Y ADMINISTRACIÓN
6018,CONOCIMIENTOS ACADÉMICOS EN IDIOMA INGLES NIVEL B1,28,No especificada
6019,TÉCNICO LABORAL EN AUXILIAR DE PRODUCCIÓN GRÁFICA,20,"ARTE, CULTURA, ESPARCIMIENTO Y DEPORTES"
6020,"CONOCIMIENTOS ACADEMICOS EN DANZAS COLOMBIANAS, LATIONAMERICANAS Y CONTEMPORÁNEAS",28,No especificada
6021,FORMACION MUSICAL JUVENIL,21,No especificada
6022,TÉCNICO LABORAL POR COMPETENCIA EN CONSTRUCCIÓN DE OBRAS CIVILES,10,CIENCIAS NATURALES APLICADAS Y RELACIONADAS
6023,CONOCIMIENTOS ACADÉMICOS EN PROEFICIENCIA EN INGLES NIVEL B1,28,No especificada
6024,CONOCIMIENTOS ACADÉMICOS EN INGLES A2,28,No especificada
6025,TÉCNICO LABORAL POR COMPETENCIAS EN SECRETARIADO EJECUTIVO,1,FINANZAS Y ADMINISTRACIÓN
6027,TÉCNICO LABORAL EN BELLEZA INTEGRAL,6,VENTAS Y SERVICIOS
6028,TÉCNICO LABORAL EN AUXILIAR EN SERVICIOS FARMACÉUTICOS,7,SALUD
6029,TÉCNICO LABORAL EN AUXILIAR EN ENFERMERÍA,13,SALUD
6030,TÉCNICO LABORAL EN AUXILIAR DE SISTEMAS INFORMATICOS,8,CIENCIAS NATURALES APLICADAS Y RELACIONADAS
6031,GASTRONOMÍA Y ALTA COCINA CON ÉNFASIS EN INGLÉS,5,VENTAS Y SERVICIOS
6032,TÉCNICO LABORAL EN AUXILIAR EN MERCADEO,3,VENTAS Y SERVICIOS
6033,TÉCNICO LABORAL POR COMPETENCIA EN TECNICO VETERINARIO,27,VENTAS Y SERVICIOS
6034,TÉCNICO LABORAL POR COMPETENCIA ASISTENTE DE RECURSOS HUMANOS,1,FINANZAS Y ADMINISTRACIÓN
6035,TÉCNICO LABORAL EN AUXILIAR CONTABLE SISTEMATIZADO,2,FINANZAS Y ADMINISTRACIÓN
6036,TÉCNICO LABORAL AUXILIAR EN ANIMACIÓN DIGITAL,20,"ARTE, CULTURA, ESPARCIMIENTO Y DEPORTES"
6037,TÉCNICO LABORAL EN AUXILIAR ADMINISTRATIVO,1,FINANZAS Y ADMINISTRACIÓN
6038,PROGRAMA DE FORMACION EN COSMETOLOGIA Y ESTETICA INTEGRAL,6,VENTAS Y SERVICIOS
6039,TÉCNICO LABORAL EN COMPETENCIAS EN GERENCIA Y MERCADEO,1,FINANZAS Y ADMINISTRACIÓN
6040,TÉCNICO LABORAL EN COMPETENCIAS AUXILIAR EN PROCESAMIENTO DE IMÁGENES GRAFICAS,11,"PROCESAMIENTO, FABRICACIÓN Y ENSAMBLAJE"
6041,TECNICO LABORAL POR COMPETENCIAS EN ANALISIS Y PROGRAMACION DE SISTEMAS,8,CIENCIAS NATURALES APLICADAS Y RELACIONADAS
6042,TÉCNICO LABORAL EN ELECTRICIDAD RESIDENCIAL,25,"OFICIOS, OPERACIÓN DE EQUIPO Y TRANSPORTE"
6043,TÉCNICO LABORAL AUXILIAR EN SECRETARIADO EJECUTIVO,1,FINANZAS Y ADMINISTRACIÓN
6044,TÉCNICO LABORAL EN ACABADOS ARQUITECTÓNICOS DE LA CONSTRUCCIÓN MODERNA,20,"ARTE, CULTURA, ESPARCIMIENTO Y DEPORTES"
6045,TÉCNICO LABORAL POR COMPETENCIAS EN AUXILIAR ADMINISTRATIVO,1,FINANZAS Y ADMINISTRACIÓN
6046,TECNICO LABORAL EN POR COMPETENCIA EN AUXILIAR DE COMERCIO EXTERIOR,27,VENTAS Y SERVICIOS
6047,TÉCNICO LABORAL EN APLICACION DE DISEÑOS Y CONSTRUCCION DE OBRAS,10,"OFICIOS, OPERACIÓN DE EQUIPO Y TRANSPORTE"
6048,TÉCNICO LABORAL POR COMPETENCIAS EN MECANICA DIESEL,26,"OFICIOS, OPERACIÓN DE EQUIPO Y TRANSPORTE"
6049,TÉCNICO LABORAL EN SISTEMAS,8,VENTAS Y SERVICIOS
6050,TÉCNICO LABORAL EN SERVICIO AL HUESPED,7,VENTAS Y SERVICIOS
6051,TÉCNICO LABORAL POR COMPETENCIAS EN SISTEMAS,8,CIENCIAS NATURALES APLICADAS Y RELACIONADAS
6052,TÉCNICO LABORAL EN AUXILIAR ADMINISTRATIVO,1,CIENCIAS NATURALES APLICADAS Y RELACIONADAS
6053,TÉCNICO LABORAL EN ATENCION INTEGRAL A LA PRIMERA INFANCIA,7,VENTAS Y SERVICIOS
6054,TÉCNICO LABORAL EN AUXILIAR EN SALUD ORAL,13,SALUD
6055,TÉCNICO LABORAL POR ASISTENTE EN INVESTIGACION CRIMINAL Y JUDICIAL,3,VENTAS Y SERVICIOS
6056,CONOCIMIENTOS ACADÉMICOS EN EL IDIOMA INGLES NIVEL C1,28,No especificada
6057,TÉCNICO LABORAL EN ELECTRICIDAD INDUSTRIAL,11,"OFICIOS, OPERACIÓN DE EQUIPO Y TRANSPORTE"
6058,CONOCIMIENTOS ACADÉMICOS EN DE SALUD,28,No especificada
6059,TÉCNICO LABORAL EN AUXILIAR CONTABLE Y FINANCIERO,2,FINANZAS Y ADMINISTRACIÓN
6060,TECNICO LABORAL EN AUXILIAR EN ARTES GRAFICAS,20,"ARTE, CULTURA, ESPARCIMIENTO Y DEPORTES"
6061,CONOCIMIENTOS ACADÉMICOS EN INGLES NIVEL B2,28,No especificada
6063,TECNICO LABORAL EN SISTEMAS INFORMATICOS,8,CIENCIAS NATURALES APLICADAS Y RELACIONADAS
6064,TÉCNICO LABORAL EN AUXILIAR EN PANADERIA Y PASTELERIA,5,VENTAS Y SERVICIOS
6065,TÉCNICO LABORAL EN OPFICIAL DE CONSTRUCCION,10,VENTAS Y SERVICIOS
6066,TÉCNICO LABORAL COMO ASISTENTE EN DISEÑO DE ESPACIOS INTERIORES,22,VENTAS Y SERVICIOS
6067,TÉCNICO LABORAL EN AUXILIAR EN TELECOMUNICACIONES Y AUDIOVISUALES,9,"OFICIOS, OPERACIÓN DE EQUIPO Y TRANSPORTE"
6068,TÉCNICO LABORAL EN MESA Y BAR,3,VENTAS Y SERVICIOS
6069,TÉCNICO LABORAL EN AUXILIAR EN ENFERMERIA,13,VENTAS Y SERVICIOS
6070,TÉCNICO LABORAL POR COMPETENCIAS EN AUXILIAR DE PREESCOLAR,17,"CIENCIAS SOCIALES, EDUCATIVAS,RELIGIOSAS Y SERVICIOS GUBERNAMENTALES"
6071,TÉCNICO LABORAL EN ENSAMBLE Y MANTENIMIENTO DE COMPUTADORES,27,CIENCIAS NATURALES APLICADAS Y RELACIONADAS
6072,TECNICO LABORAL EN SEGURIDAD OCUPACIONAL,19,EXPLOTACIÓN PRIMARIA Y EXTRACTIVA
6073,TÉCNICO LABORAL POR COMPETENCIAS COMO AUXILIAR EN ATENCIÓN AL DESARROLLO DE LA PRIMERA INFANCIA,8,VENTAS Y SERVICIOS
6074,TÉCNICO LABORAL EN AUXILIAR EN RECURSOS HUMANOS,1,FINANZAS Y ADMINISTRACIÓN
6075,CONOCIMIENTOS ACADÉMICOS EN INGLES NIVEL C1,28,No especificada
6076,CONSTRUCCIONES CIVILES,10,"OFICIOS, OPERACIÓN DE EQUIPO Y TRANSPORTE"
6077,TÉCNICO LABORAL EN AUXILIAR EN ENFERMERIA,13,SALUD
6078,CONOCIMIENTOS ACADÉMICOS EN PIANO,21,No especificada
6079,TÉCNICO LABORAL EN AUXILIAR MERCADEO,3,VENTAS Y SERVICIOS
6080,CONOCIMIENTOS ACADÉMICOS EN INGLES NIVEL B1,28,No especificada
6082,TÉCNICO LABORAL AUXILIAR DE CRÉDITO Y CARTERA,20,FINANZAS Y ADMINISTRACIÓN
6083,TÉCNICO LABORAL EN ELECTRICIDAD,11,"PROCESAMIENTO, FABRICACIÓN Y ENSAMBLAJE"
6084,"CONOCIMIENTOS ACADÉMICOS EN INGLES A1, A2, B1, B2",28,No especificada
6085,TÉCNICO LABORAL EN SISTEMAS,8,CIENCIAS NATURALES APLICADAS Y RELACIONADAS
6087,TÉCNICO LABORAL POR COMPETENCIAS AUXILIAR ADMINISTRATIVO EN SALUD,1,SALUD
6088,TÉCNICO LABORAL EN AUXILIAR EN ASISTENTE ADMINISTRATIVO,1,FINANZAS Y ADMINISTRACIÓN
6089,ADMINISTRACION DE EMPRESAS Y FINANCIERA,1,FINANZAS Y ADMINISTRACIÓN
6090,TÉCNICO LABORAL EN CUIDADO DE LA PERSONA EN EL DOMICILIO,13,VENTAS Y SERVICIOS
6091,TÉCNICO LABORAL EN MANTENIMIENTO GENERAL,27,VENTAS Y SERVICIOS
6092,TÉCNICO LABORAL EN ASISTENCIA Y CUIDADO AL ADULTO MAYOR,13,VENTAS Y SERVICIOS
6093,TÉCNICO POR COMPETENCIA LABORAL EN LOGISTICA DE COMPRAS Y GESTION DE INVENTARIOS,1,VENTAS Y SERVICIOS
6094,TÉCNICO LABORAL EN PRODUCCION PECUARIA,11,EXPLOTACIÓN PRIMARIA Y EXTRACTIVA
6095,TÉCNICO LABORAL EN AUXILIAR EN MERCADEO,3,VENTAS Y SERVICIOS
6096,TÉCNICO LABORAL EN MERCADEO Y VENTAS,3,VENTAS Y SERVICIOS
6097,TÉCNICO LABORAL EN PELUQUERIA,6,VENTAS Y SERVICIOS
6098,TÉCNICO LABORAL EN AUXILIAR EN ENFERMERÍA,13,SALUD
6099,TÉCNICO LABORAL EN AUXILIAR CLINICO VETERINARIO,3,VENTAS Y SERVICIOS
6100,CONOCIMIENTOS ACADÉMICOS EN EL IDIOMA INGLES NIVEL A1,28,No especificada
6101,TÉCNICO LABORAL EN AUXILIAR ADMINISTRATIVO,1,FINANZAS Y ADMINISTRACIÓN
6102,TÉCNICO LABORAL EN AUXILIAR EN ASESORIA JURIDICA Y DERECHO PUBLICO,16,"CIENCIAS SOCIALES, EDUCATIVAS,RELIGIOSAS Y SERVICIOS GUBERNAMENTALES"
6103,TÉCNICO LABORAL EN ASISTENTE CONTABLE,2,FINANZAS Y ADMINISTRACIÓN
6104,TÉCNICO LABORAL EN ELECTRICISTA INDUSTRIAL,11,"OFICIOS, OPERACIÓN DE EQUIPO Y TRANSPORTE"
6105,CONOCIMIENTOS ACADÉMICOS EN PORTUGUES INTERMEDIO B2.2,28,No especificada
6106,AUXILIAR EN ENFERMERIA,13,SALUD
6107,TÉCNICO LABORAL POR COMPETENCIAS EN SANEAMIENTO AMBIENTAL,14,CIENCIAS NATURALES APLICADAS Y RELACIONADAS
6108,TÉCNICO LABORAL EN AUXILIAR DE VETERINARIA,23,VENTAS Y SERVICIOS
6109,TÉCNICO LABORAL EN ATENCION A PRIMERA INFANCIA,7,VENTAS Y SERVICIOS
6110,TÉCNICO LABORAL POR COMPETENCIAS EN ASESOR DE CONTAC CENTER,3,VENTAS Y SERVICIOS
6111,TÉCNICO LABORAL EN INVESTIGACION JUDICIAL Y CRIMINAL,16,"CIENCIAS SOCIALES, EDUCATIVAS,RELIGIOSAS Y SERVICIOS GUBERNAMENTALES"
6112,TECNICO LABORAL EN AUXILIAR CONTABLE,2,FINANZAS Y ADMINISTRACIÓN
6113,TÉCNICO LABORAL POR COMPETENCIAS EN CHEF,5,VENTAS Y SERVICIOS
6114,TÉCNICO LABORAL EN MECANICA DE MOTOS,26,"OFICIOS, OPERACIÓN DE EQUIPO Y TRANSPORTE"
6115,TÉCNICO LABORAL EN AUXILIAR DE SOPORTE SISTEMAS E INFORMATICA,8,"OFICIOS, OPERACIÓN DE EQUIPO Y TRANSPORTE"
6116,"TÉCNICO LABORAL EN MANTENIMIENTO DE MOTORES DIESEL, GASOLINA/GAS",26,"OFICIOS, OPERACIÓN DE EQUIPO Y TRANSPORTE"
6117,TÉCNICO LABORAL POR COMPETENCIAS EN INSTALACION DE SERVICIOS DE TELECOMUNICACIONES,7,"OFICIOS, OPERACIÓN DE EQUIPO Y TRANSPORTE"
6118,TECNICO LABORAL POR COMPETENCIAS Y GESTION EMPRESARIAL Y DE NEGOCIOS,1,VENTAS Y SERVICIOS
6119,TÉCNICO LABORAL EN AUXILIAR EN SANEAMIENTO AMBIENTAL,14,CIENCIAS NATURALES APLICADAS Y RELACIONADAS
6120,TÉCNICO LABORAL EN EDUACION PARA LA PRIMERA INFANCIA,17,CIENCIAS NATURALES APLICADAS Y RELACIONADAS
6121,CONOCIMIENTOS ACADÉMICOS EN FILOSOFIA Y CIENCIAS RELIGIOSAS,28,No especificada
6123,CONOCIMIENTOS ACADÉMICOS EN INGLÉS PARA ADULTOS NIVEL B2,28,No especificada
6124,TÉCNICO LABORAL EN ATENCION INTEGRAL A LA PRIMERA INFANCIA,7,VENTAS Y SERVICIOS
6125,TÉCNICO LABORAL POR COMPETENCIA EN AUXILIAR EN OBRAS CIVILES Y CONSTRUCCION,10,"OFICIOS, OPERACIÓN DE EQUIPO Y TRANSPORTE"
6126,TÉCNICO LABORAL EN SEGURIDAD OCUPACIONAL,19,VENTAS Y SERVICIOS
6127,TÉCNICO LABORAL EN AUXILIAR BANCARIO,2,FINANZAS Y ADMINISTRACIÓN
6128,CONOCIMIENTOS ACADÉMICOS EN ITALIANO INTERMEDIO NIVEL B1,28,No especificada
6129,MECANICA DENTAL,26,VENTAS Y SERVICIOS
6130,TÉCNICO LABORAL EN AUXILIAR EN CLINICA VETERINARIA,13,VENTAS Y SERVICIOS
6131,MECÁNICA DE VEHICULOS AUTOMOTORES A GASOLINA Y GAS,26,"OFICIOS, OPERACIÓN DE EQUIPO Y TRANSPORTE"
6132,TÉCNICO LABORAL EN AUXILIAR DE SERVICIO SOCIAL Y COMUNITARIO,7,VENTAS Y SERVICIOS
6133,TÉCNICO LABORAL EN AUXILIAR EN ENFERMERÍA,13,SALUD
6134,TÉCNICO LABORAL EN AUXILIAR EN DISEÑO GRAFICO DIGITAL,22,CIENCIAS NATURALES APLICADAS Y RELACIONADAS
6135,TÉCNICO LABORAL EN AUXILIAR ADMINISTRATIVO,1,FINANZAS Y ADMINISTRACIÓN
6136,TÉCNICO LABORAL POR COMPETENCIA EN SECRETARIADO BILINGÜE,3,VENTAS Y SERVICIOS
6137,TÉCNICO LABORAL EN SERVICIOS DE PELUQUERIA,6,VENTAS Y SERVICIOS
6139,CONOCIMIENTOS ACADÉMICOS EN INGLES NIVEL B2,28,No especificada
6140,TÉCNICO LABORAL EN OPERADOR DE EQUIPOS PESADOS (EXCEPTO GRUA),27,"OFICIOS, OPERACIÓN DE EQUIPO Y TRANSPORTE"
6141,TÉCNICO LABORAL EN RECEPCIONISTA Y OPERADOR DE CONMUTADORES,7,VENTAS Y SERVICIOS
6142,TECNICO LABORAL POR COMPETENCIA EN INVESTIGACION JUDICIAL,27,"PROCESAMIENTO, FABRICACIÓN Y ENSAMBLAJE"
6143,TECNICO LABORAL POR COMPETENCIAS EN ADMINISTRACION DE SISTEMAS,1,CIENCIAS NATURALES APLICADAS Y RELACIONADAS
6144,TÉCNICO LABORAL EN SEGURIDAD Y SALUD EN EL TRABAJO - SALUD OCUPACIONAL,19,VENTAS Y SERVICIOS
6145,CONOCIMIENTOS ACADÉMICOS EN EL IDIOMA INGLES NIVEL B2 (INTERMEDIO),28,No especificada
6146,TÉCNICO LABORAL EN SOPORTE EN TECNOLOGIA,8,CIENCIAS NATURALES APLICADAS Y RELACIONADAS
6147,TÉCNICO LABORAL MECÁNICA DE MOTORES DIESEL,26,VENTAS Y SERVICIOS
6148,TÉCNICO LABORAL EN ASISTENTE ADMINISTRATIVO,1,FINANZAS Y ADMINISTRACIÓN
6149,CONOCIMIENTOS ACADÉMICOS FRANCES NIVEL B2,28,No especificada
6150,ALEMÁN NIVEL INTERMEDIO ALTO PERSONALIZADO B2-C1,28,No especificada
6151,TÉCNICO LABORAL EN MECANICA DE MOTOCICLETAS,26,"OFICIOS, OPERACIÓN DE EQUIPO Y TRANSPORTE"
6152,TÉCNICO LABORAL EN COSMETOLOGÍA Y ESTÉTICA INTEGRAL,3,VENTAS Y SERVICIOS
6153,CONOCIMIENTOS ACADÉMICOS EN LENGUA EXTRANJERA - INGLÉS,28,No especificada
6154,TÉCNICO LABORAL EN DISEÑO GRÁFICO Y PUBLICIDAD,3,VENTAS Y SERVICIOS
6155,CONOCIMIENTOS ACADÉMICOS EN INGLÉS AVANZADO PARA JÓVENES NIVEL C1,28,No especificada
6156,TÉCNICO LABORAL EN AUXILIAR CORTE Y CONFECCION,11,"PROCESAMIENTO, FABRICACIÓN Y ENSAMBLAJE"
6157,TÉCNICO LABORAL EN AUXILIAR CONTABLE Y FINANCIERO,2,FINANZAS Y ADMINISTRACIÓN
6158,TÉCNICO LABORAL EN AUXILIAR CONTABLE Y FINANCIERO,2,FINANZAS Y ADMINISTRACIÓN
6159,TÉCNICO LABORAL EN GUIANZA TURISTICA BILINGUE,3,VENTAS Y SERVICIOS
6160,CONOCIMIENTOS ACADÉMICOS EN INSTRUMENTOS DE VIENTO,21,No especificada
6161,TÉCNICO LABORAL EN AUXILIAR EN HOGAR GERIÁTRICO,3,VENTAS Y SERVICIOS
6162,TÉCNICO LABORAL POR COMPETENCIA EN ASISTENTE ADMINISTRATIVO,1,FINANZAS Y ADMINISTRACIÓN
6163,CONOCIMIENTOS ACADÉMICOS PARA EL DESARROLLO DE LA PRIMERA INFANCIA,8,No especificada
6164,TÉCNICO LABORAL POR COMPETENCIAS EN MANTENIMIENTO DE EQUIPOS DE COMPUTO,27,CIENCIAS NATURALES APLICADAS Y RELACIONADAS
6165,TÉCNICO LABORAL EN OPERARIO PÓRTUARIO,3,VENTAS Y SERVICIOS
