id_programa,nombre_programa
2767,TECNICO LABORAL EN AUXILIAR EN MERCADEO Y VENTAS
2768,TECNICO LABORAL EN AUXILIAR EN MODAS CORTE Y CONFECCION
2769,TECNICO LABORAL EN AUXILIAR EN MÉCANICA DENTAL
2770,TECNICO LABORAL EN AUXILIAR EN PREESCOLAR
2771,TECNICO LABORAL EN AUXILIAR EN PROCESO RESCREATIVOS Y TURISTICOS
2772,TECNICO LABORAL EN AUXILIAR EN PROCESOS ADUANEROS
2773,TECNICO LABORAL EN AUXILIAR EN PRODUCCIÓN INDUSTRIAL
2774,TECNICO LABORAL EN AUXILIAR EN RECURSOS HUMANOS
2775,TECNICO LABORAL EN AUXILIAR EN SALUD ORAL
2776,TECNICO LABORAL EN AUXILIAR EN SALUD PUBLICA
2777,TECNICO LABORAL EN AUXILIAR EN SECRETARIADO EJECUTIVO
2778,TECNICO LABORAL EN AUXILIAR EN SERVICIO AL HUESPED CON ENFASIS EN HOTELERIA
2779,TECNICO LABORAL EN AUXILIAR EN SERVICIOS FARMACEUTICOS
2780,TECNICO LABORAL EN AUXILIAR EN SERVICIOS HOTELEROS
2781,TECNICO LABORAL EN AUXILIAR EN SISTEMAS INFORMATICOS
2782,TECNICO LABORAL EN AUXILIAR EN VENTAS Y MERCADEO
2783,TECNICO LABORAL EN AUXILIAR FINANCIERO
2784,TECNICO LABORAL EN AUXILIAR MANTENIMIENTO DE EQUIPOS DE COMPUTO
2785,TECNICO LABORAL EN AUXILIAR MECANICA DENTAL
2786,TECNICO LABORAL EN AUXILIAR SERVICIOS FARMACEUTICOS
2787,TECNICO LABORAL EN AUXILIAR Y GESTIÓN EMPRESARIAL
2788,TECNICO LABORAL EN AUXILIARES ADMINISTRATIVOS
2789,TECNICO LABORAL EN AUXILIARES CONTABLES
2790,TECNICO LABORAL EN AUXLIAR CONTABLE
2791,TECNICO LABORAL EN AYUDANTE DE COCINA
2792,TECNICO LABORAL EN BAILE
2793,TECNICO LABORAL EN BANCA Y SERVICIOS FINANCIEROS
2794,"TECNICO LABORAL EN BANCA, SEGUROS Y SERVICIOS FINANCIEROS"
2795,TECNICO LABORAL EN BELEZA INTEGRAL
2796,TECNICO LABORAL EN BELLEZA
2797,TECNICO LABORAL EN BELLEZA CAPILAR Y FACIAL
2798,TECNICO LABORAL EN BELLEZA DE MANOS Y PIES
2799,TECNICO LABORAL EN BELLEZA INTEGRAL
2800,TECNICO LABORAL EN BELLEZA Y ARREGLO PERSONAL
2801,TECNICO LABORAL EN BELLEZA Y COSMETOLOGIA
2802,TECNICO LABORAL EN BELLEZA Y GLAMUORT
2803,TECNICO LABORAL EN BELLEZA Y PELUQUERIA
2804,TECNICO LABORAL EN BUSQUEDA Y RESCATE
2805,TECNICO LABORAL EN CALL CENTER
2806,TECNICO LABORAL EN CIMINALISTICA E INVESTIGACION JUDICIAL
2807,TECNICO LABORAL EN COCINERO EN COCINA INTERNACIONAL
2808,TECNICO LABORAL EN COMERCIO
2809,TECNICO LABORAL EN COMERCIO EXTERIOR
2810,TECNICO LABORAL EN COMERCIO INTERNACIONAL
2811,TECNICO LABORAL EN COMERCIO INTERNACIONAL Y LOGISTICA
2812,TECNICO LABORAL EN COMERCIO Y LOGISTICA PORTUARIA
2813,TECNICO LABORAL EN COMERCIO Y SISTEMAS
2814,TECNICO LABORAL EN COMPETENCIA EN SEGURIDAD INDUSTRIAL H.S.E.
2815,TECNICO LABORAL EN COMPETENCIAS   GESTIÓN ADMINISTRATIVA
2816,TECNICO LABORAL EN COMPETENCIAS  DISEÑADOR MULTIMEDIA
2817,TECNICO LABORAL EN COMPUTACION EMPRESARIAL
2818,"TECNICO LABORAL EN COMPUTADORES, REDES Y COMUNICACIONES"
2819,TECNICO LABORAL EN COMUNICACIONES Y RADAR
2820,TECNICO LABORAL EN COMUNICACIÓN GRAFICA Y PUBLICITARIA
2821,TECNICO LABORAL EN COMUNICACIÓN SOCIAL Y PERIODISMO
2822,TECNICO LABORAL EN CONFECCION PATRONAJE Y DISEÑO DE MODAS
2823,TECNICO LABORAL EN CONFECCION Y PATRONAJE DE MODA
2824,TECNICO LABORAL EN CONFECCIÓN Y PATRONAJE
2825,TECNICO LABORAL EN CONFIGURACION E INSTALACION DE REDES
2826,TECNICO LABORAL EN CONSTRUCCION
2827,"TECNICO LABORAL EN CONSTRUCCION E INSTALACIONES ELECTRICAS INTERNAS EN EDIF. INDUSTRIALES, COMERCIALES Y RESIDENCIALES"
2828,TECNICO LABORAL EN CONSTRUCCIÓN Y OBRAS CIVILES
2829,TECNICO LABORAL EN CONSULTOR CALL CENTER
2830,TECNICO LABORAL EN CONTABILIZACION DE OPERACIONES COMERCIALES Y FINANCIERAS
2831,TECNICO LABORAL EN CONTABILIZACIÓN DE OPERACIONES COMERCIALES Y FINANCIERAS
2832,TECNICO LABORAL EN CONTROL DE CALIDAD
2833,TECNICO LABORAL EN COSMETICA FACIAL Y CORPORAL
2834,TECNICO LABORAL EN CUIDADO ESTETICO DE MANOS Y PIES
2835,TECNICO LABORAL EN CUIDADO ESTETICO EN MANOS Y PIES
2836,TECNICO LABORAL EN CUIDADO ESTÉTICO DE MANOS Y PIES
2837,TECNICO LABORAL EN DESARROLLO DE PIEZAS MULTIMEDIA
2838,TECNICO LABORAL EN DESARROLLO Y EDUCACION INFANTIL
2839,TECNICO LABORAL EN DESPACHADOR DE AERONAVES
2840,TECNICO LABORAL EN DETECTIVE INVESTIGADOR
2841,TECNICO LABORAL EN DIBUJO MECANICO
2842,TECNICO LABORAL EN DIGITACION
2843,TECNICO LABORAL EN DIGITACION Y TRANSCRIPCION DE DOCUMENTOS Y ARCHIVOS DIGITALIZADOS
2844,TECNICO LABORAL EN DIGITACIÒN
2845,TECNICO LABORAL EN DIGITADOR
2846,TECNICO LABORAL EN DIRECCION DE VENTAS
2847,TECNICO LABORAL EN DIRECTOR DE PROGRAMAS DE ESPARCIMIENTO Y DEPORTES
2848,TECNICO LABORAL EN DISEÑO DE IMAGEN
2849,TECNICO LABORAL EN DISEÑO DE JOYAS
2850,TECNICO LABORAL EN DISEÑO DE MODAS
2851,TECNICO LABORAL EN DISEÑO DE PRODUCTOS INDUSTRIALES
2852,TECNICO LABORAL EN DISEÑO GRAFICO
2853,TECNICO LABORAL EN DISEÑO GRAFICO PUBLICITARIO
2854,TECNICO LABORAL EN DISEÑO GRAFICO Y MULTIMEDIA
2855,TECNICO LABORAL EN DISEÑO GRAFICO Y PUBLICITARIO
2856,TECNICO LABORAL EN DISEÑO Y ARMADOR DE PRODCUTOS DE MARROQUINERIA
2857,TECNICO LABORAL EN DISEÑO Y ARTES GRAFICAS
2858,TECNICO LABORAL EN DISEÑO Y CONFECCION INDUSTRIAL DE MODAS
2859,TECNICO LABORAL EN DISEÑO Y DESARROLLO DE PRODUCTOS EN CONFECCION INDUSTRIAL
2860,TECNICO LABORAL EN DISEÑO Y ELABORACION DE PRODUCTOS EN MADERA
2861,TECNICO LABORAL EN EBANISTERIA
2862,TECNICO LABORAL EN EBANISTERIA Y CARPINTERIA
2863,"TECNICO LABORAL EN ECOTURISMO, RECREACIÓN Y GRASTRONOMÍA"
2864,TECNICO LABORAL EN EDUCACION FISICA RECREACION Y DEPORTES
2865,TECNICO LABORAL EN EDUCACION INFANTIL
2866,TECNICO LABORAL EN EL ADIESTRAMIENTO Y MANEJO DE CANINOS
2867,TECNICO LABORAL EN EL ANALISIS Y PRODUCCIONDE LA INFORMACIÓN  ADMINISTRATIVA Y CONTABLE
2868,TECNICO LABORAL EN EL CUIDADO DE MANOS Y PIES
2869,TECNICO LABORAL EN ELABORACION DE MUEBLES CONTEMPORANEOS  Y MODULARES
2870,TECNICO LABORAL EN ELABORACION DE OBJETOS ARTESANALES
2871,TECNICO LABORAL EN ELABORACION DE PRODUCTOS DE PANADERIA Y PASTELERIA
2872,TECNICO LABORAL EN ELABORACION DE PRODUCTOS EN MADERA.
2873,TECNICO LABORAL EN ELECTRICIDAD
2874,TECNICO LABORAL EN ELECTRICIDAD AUTOMOTRIZ
2875,TECNICO LABORAL EN ELECTRICIDAD E INSTALACIÓN DE REDES ELECTRICAS RESIDENCIALES E INDUSTRIALES
2876,TECNICO LABORAL EN ELECTRICIDAD INDUSTRIAL
2877,TECNICO LABORAL EN ELECTRICIDAD Y REFRIGERACION
2878,"TECNICO LABORAL EN ELECTRICIDAD, INDUSTRIAL"
2879,TECNICO LABORAL EN ELECTRICISTA DE BIENES INMUEBLES DE CARÁCTER CULTURAL
2880,TECNICO LABORAL EN ELECTRICISTA INDUSTRIAL
2881,TECNICO LABORAL EN ELECTRICISTA RESIDENCIAL
2882,TECNICO LABORAL EN ELECTRONICA
2883,TECNICO LABORAL EN ELECTRONICA CON ENFASIS EN SONIDO Y TELEVISION
2884,TECNICO LABORAL EN ELECTRONICA DE REFRIGERACION INDUSTRIAL
2885,TECNICO LABORAL EN ELECTRONICA DIGITAL
2886,TECNICO LABORAL EN ELECTRONICA Y ELECTRICIDAD AUTOMOTRIZ
2887,TECNICO LABORAL EN ELECTRONICA Y MANTENIMIENTO DE COMPUTADORES
2888,TECNICO LABORAL EN ELECTRONICA Y TELECOMUNICACIONES
2889,TECNICO LABORAL EN ELECTRÓNICA DE POTENCIA
2890,TECNICO LABORAL EN EMSAMBLE Y MANTENIMIENTO DE COMPUTADORES
2891,TECNICO LABORAL EN ENSAMBLE Y MANTENIMIENTO DE COMPUTADORES
2892,TECNICO LABORAL EN ENSAMBLE Y MANTENIMIENTO DE COMPUTADORES Y REDES
2893,TECNICO LABORAL EN ENSAMBLE Y MANTENIMIENTO DE EQUIPO DE COMPUTO
2894,TECNICO LABORAL EN ENSAMBLE Y MANTENIMIENTO DE EQUIPOS DE COMPUTO
2895,TECNICO LABORAL EN ENSAMBLE Y PROGRAMACIÓN DE COMPUTADORES
2896,TECNICO LABORAL EN ENSAMBLE Y REPARACION DE COMPUTADORES
2897,"TECNICO LABORAL EN ENSAMBLE, MANTENIMIENTO Y REPARACION DE HARDWARE"
2898,"TECNICO LABORAL EN ENSAMBLE, MANTENIMIENTO Y REPARACIÓN DE HARDWARE"
2899,TECNICO LABORAL EN ENSAYOS RUTINARIOS DE MUESTRAS QUIMICAS
2900,TECNICO LABORAL EN ESCUELA INFANTIL DE MUSICA
2901,TECNICO LABORAL EN ESTETICA CAPILAR
2902,TECNICO LABORAL EN ESTILISTA INTEGRAL
2903,TECNICO LABORAL EN ESTÉTICA FACIALY CORPORAL
2904,TECNICO LABORAL EN ETIQUETA Y PROTOCOLO
2905,TECNICO LABORAL EN FABRICACION Y RECONSTRUCCION DE PRODUCTOS METALICOS SOLDADOS
2906,TECNICO LABORAL EN FABRICACION Y RECONSTRUCCION DE PRODUCTOS METALMECANICOS SOLDADOS
2907,TECNICO LABORAL EN FINANZAS Y CONTABILIDAD
2908,TECNICO LABORAL EN FORMACION Y CUALIFICACION DE BOMBEROS
2909,TECNICO LABORAL EN FOTOGRAFIA Y VIDEO
2910,TECNICO LABORAL EN GASTRONOMIA
2911,TECNICO LABORAL EN GASTRONOMIA INTERNACIONAL
2912,TECNICO LABORAL EN GASTRONOMIA Y BAR
2913,"TECNICO LABORAL EN GASTRONOMIA, GOURMET Y TURISMO"
2914,TECNICO LABORAL EN GEMOLOGIA
2915,TECNICO LABORAL EN GESTION ADMINISTRATIVA
2916,TECNICO LABORAL EN GESTION ADMINISTRATIVA CONTABLE Y FINANCIERA
2917,TECNICO LABORAL EN GESTION AMBIENTAL CON ENFASIS EN DESASTRES
2918,TECNICO LABORAL EN GESTION COMERCIAL EN EL EXTERIOR
2919,TECNICO LABORAL EN GESTION CONTABLE
2920,TECNICO LABORAL EN GESTION CONTABLE Y FINANCIERA
2921,TECNICO LABORAL EN GESTION DEL RIESGO Y ATENCION DE DESASTRES
2922,TECNICO LABORAL EN GESTION EMPRESARIAL
2923,TECNICO LABORAL EN GESTION NAVIERA Y PORTUARIA
2924,TECNICO LABORAL EN GESTION SECRETARIAL
2925,TECNICO LABORAL EN GESTION SOCIAL Y COMUNITARIA
2926,TECNICO LABORAL EN GUIAS DE VIAJE Y TURISMO
2927,TECNICO LABORAL EN HIGIENE Y SEGURIDAD EN LA INDUSTRIA DEL PETROLEO
2928,TECNICO LABORAL EN HOTELERIA Y GUIA TURISTICA
2929,TECNICO LABORAL EN HOTELERIA Y TURISMO
2930,TECNICO LABORAL EN IMAGENES GRAFICAS
2931,TECNICO LABORAL EN IMPRESION SERIGRAFICA
2932,TECNICO LABORAL EN INSPECTOR CONTROL DE CALIDAD DE EQUIPOS ELECTRICOS
2933,TECNICO LABORAL EN INSTACION Y REPARACION DE EQUIPOS DE TELECOMUNICACIONES
2934,TECNICO LABORAL EN INSTALACION DE REDES A GAS DOMICILIARIAS Y COMERCIALES
2935,TECNICO LABORAL EN INSTALACION DE REDES ELECTRICAS COMERCIALES Y RESIDENCIALES
2936,TECNICO LABORAL EN INSTALACION DE REDES Y MANTENIMIENTO DE COMPUTADORES
2937,TECNICO LABORAL EN INSTALACION Y MANTENIMIENTO DE REDES
2938,TECNICO LABORAL EN INSTALACIONES ELECTRICAS
2939,TECNICO LABORAL EN INSTALACIONES ELECTRICAS INDUSTRIALES
2940,TECNICO LABORAL EN INSTALACIONES ELECTRICAS RESIDENCIALES Y DOMESTICAS
2941,TECNICO LABORAL EN INSTALACIÓN DE REDES Y COMPUTADORES
2942,TECNICO LABORAL EN INSTALADOR DE REDES Y COMPUTADORES
2943,TECNICO LABORAL EN INSTRUCTOR EN BIBLIA Y TEOLOGIA
2944,TECNICO LABORAL EN INTERPRETACION MUSICAL CON INSTRUMENTOS ARMONICOS
2945,TECNICO LABORAL EN INVESTIGACION CRIMINALISTICA
2946,TECNICO LABORAL EN INVESTIGACION CRIMINALISTICA Y JUDICIAL
2947,TECNICO LABORAL EN INVESTIGACION JUDICIAL
2948,TECNICO LABORAL EN INVESTIGACION JUDICIAL Y CRIMINALISTICA
2949,TECNICO LABORAL EN INVESTIGACIONES Y PROCEDIMIENTOS JUDICIALES
2950,TECNICO LABORAL EN INVESTIGACIÓN JUDICIAL Y SEGURIDAD
2951,TECNICO LABORAL EN JOYERIA
2952,TECNICO LABORAL EN LABORATORIO INDUSTRIAL
2953,TECNICO LABORAL EN LIQUIDACION DE NOMINAS Y PRESTACIONES SOCIALES
2954,TECNICO LABORAL EN LOCUCION Y RADIO
2955,TECNICO LABORAL EN LOGISTICA
2956,TECNICO LABORAL EN LOGISTICA DE CENTRO DE DISTRIBUCION
2957,TECNICO LABORAL EN LOGISTICA PORTUARIA
2958,TECNICO LABORAL EN LOGISTICA PORTUARIA CON ENFASIS EN INGLES
2959,TECNICO LABORAL EN LOGISTICA PORTUARIA INTERNACIONAL
2960,TECNICO LABORAL EN LOGISTICA Y TRANSPORTE
2961,TECNICO LABORAL EN LOGÍSTICA Y CADENA DE SUMINISTRO
2962,TECNICO LABORAL EN MAESTRO DE OBRA DE MATERIALES TRADICIONALES
2963,TECNICO LABORAL EN MANEJO DE CAJA REGISTRADORA
2964,TECNICO LABORAL EN MANEJO DE INSTRUMENTOS MUSICALES
2965,TECNICO LABORAL EN MANEJO INTEGRAL DE CANINOS
2966,TECNICO LABORAL EN MANICURA Y PEDICURA
2967,TECNICO LABORAL EN MANIPULACION DE OBJETOS EN BODEGA Y CENTROS DE DISTRIBUCION
2968,TECNICO LABORAL EN MANIPULACION Y TRANSFORMACION DE ALIMENTOS
2969,TECNICO LABORAL EN MANTENIMIENTO DE COMPUTADORES
2970,TECNICO LABORAL EN MANTENIMIENTO DE COMPUTADORES E INSTALACIÓN DE REDES
2971,TECNICO LABORAL EN MANTENIMIENTO DE COMPUTADORES Y EQUIPOS ELECTRONICOS
2972,TECNICO LABORAL EN MANTENIMIENTO DE EQUIPO DE COMPUTO
2973,TECNICO LABORAL EN MANTENIMIENTO DE EQUIPO MINERO
2974,TECNICO LABORAL EN MANTENIMIENTO DE EQUIPO Y PLANTA FISICA EN EDIFICACIONES COMERCIALES Y RESIDENCIALES
2975,TECNICO LABORAL EN MANTENIMIENTO DE EQUIPOS DE COMPUTO
2976,TECNICO LABORAL EN MANTENIMIENTO DE EQUIPOS DE COMPUTO Y REDES INFORMATICAS
2977,TECNICO LABORAL EN MANTENIMIENTO DE EQUIPOS DE COMPUTOS
2978,TECNICO LABORAL EN MANTENIMIENTO DE EQUIPOS ELECTROMECANICOS
2979,TECNICO LABORAL EN MANTENIMIENTO DE EQUIPOS Y COMPUTO
2980,TECNICO LABORAL EN MANTENIMIENTO DE HARDWARE
2981,TECNICO LABORAL EN MANTENIMIENTO DE HARDWARE Y REDES
2982,TECNICO LABORAL EN MANTENIMIENTO DE INSTRUMENTOS DE AERONAVEGACIÓN ELECTRICISTA Y REPARACIÓN DE EQUIPOS ELECTRÓNICOS DE AERONAVES - TEEI
2983,TECNICO LABORAL EN MANTENIMIENTO DE MOTOCICLETAS
2984,TECNICO LABORAL EN MANTENIMIENTO DE MOTORES A GASOLINA Y GAS
2985,TECNICO LABORAL EN MANTENIMIENTO DE MOTORES DE COMBUSTION INTERNA
2986,TECNICO LABORAL EN MANTENIMIENTO DE MOTORES DIESEL
2987,"TECNICO LABORAL EN MANTENIMIENTO DE MOTORES DIESEL,GASOLINA/GAS"
2988,TECNICO LABORAL EN MANTENIMIENTO DE REDES
2989,TECNICO LABORAL EN MANTENIMIENTO DE SISTEMAS ELECTRICOS Y ELECTRONICOS EN AUTOMOTORES
2990,TECNICO LABORAL EN MANTENIMIENTO DE TELEFONIA MOVIL
2991,TECNICO LABORAL EN MANTENIMIENTO ELECTRICO Y ELECTRONICO
2992,TECNICO LABORAL EN MANTENIMIENTO ELECTRONICO
2993,TECNICO LABORAL EN MANTENIMIENTO INDUSTRIAL
2994,TECNICO LABORAL EN MANTENIMIENTO REPARACION Y ENSAMBLE DE COMPUTADORES
2995,TECNICO LABORAL EN MANTENIMIENTO Y CONECTIVIDAD DE COMPUTADORES
2996,TECNICO LABORAL EN MANTENIMIENTO Y ENSAMBLE DE COMPUTADORES
2997,TECNICO LABORAL EN MANTENIMIENTO Y REPARACION DE COMPUTADORES
2998,TECNICO LABORAL EN MANTENIMIENTO Y REPARACION DE COMPUTADORES Y REDES
2999,TECNICO LABORAL EN MANTENIMIENTO Y REPARACION DE SISTEMAS DE REFRIGERACION Y AIRES ACONCICIONADOS COMERCIALES Y RESIDENCIALES
3000,"TECNICO LABORAL EN MANTENIMIENTO, REPARACION Y MENEJO DE COMPUTADORAS"
3001,TECNICO LABORAL EN MANTYENIMIENTO DE MOTORES A GASOLINA Y GAS
3002,TECNICO LABORAL EN MANUALIDADES Y ARTESANIAS
3003,TECNICO LABORAL EN MAQUILLAJE ARTISTICO
3004,TECNICO LABORAL EN MAQUILLAJE ARTISTICO Y DECORATIVO
3005,TECNICO LABORAL EN MAQUILLAJE ARTÍSTICO Y DECORATIVO
3006,TECNICO LABORAL EN MAQUILLAJE DECORATIVO
3007,TECNICO LABORAL EN MAQUILLAJE DECORATIVO Y ARTISTICO
3008,"TECNICO LABORAL EN MAQUILLAJE SOCIAL, MANICURA Y PEDICURAMAQUILLAJE SOCIAL, MANICURE Y PEDICURE"
3009,TECNICO LABORAL EN MARKETING
3010,"TECNICO LABORAL EN MARKETING, VENTA Y PUBLICIDAD"
3011,TECNICO LABORAL EN MECANICA
3012,TECNICO LABORAL EN MECANICA AUTOMOTRIZ
3013,TECNICO LABORAL EN MECANICA DE MOTORES A GASOLINA
3014,TECNICO LABORAL EN MECANICA DE MOTORES DIESEL
3015,TECNICO LABORAL EN MECANICA DE MOTORES DIESSEL
3016,TECNICO LABORAL EN MECANICA DE MOTOS
3017,TECNICO LABORAL EN MECANICA DENTAL
3018,TECNICO LABORAL EN MECANICA DIESEL
3019,TECNICO LABORAL EN MECANICA INDUSTRIAL
3020,TECNICO LABORAL EN MECANICA INDUSTRIAL BASICA
3021,TECNICO LABORAL EN MECANICO DE MOTORES DIESEL
3022,TECNICO LABORAL EN MECANICO DIESEL- EQUIPO PESADO
3023,TECNICO LABORAL EN MECANICOS DE MOTOS
3024,TECNICO LABORAL EN MECANIZA DIESEL
3025,TECNICO LABORAL EN MECANIZADO POR ARRANQUE VIRUTA
3026,TECNICO LABORAL EN MECÁNICA AUTOMOTRIZ
3027,TECNICO LABORAL EN MECÁNICA DE MOTOS
3028,TECNICO LABORAL EN MEDIO AMBIENTE Y DESARROLLO
3029,TECNICO LABORAL EN MERCADEO
3030,TECNICO LABORAL EN MERCADEO VENTAS Y PUBLICIDAD
3031,TECNICO LABORAL EN MERCADEO Y PUBLICIDAD
3032,TECNICO LABORAL EN MERCADEO Y VENTAS
3033,TECNICO LABORAL EN MERCADEO Y VENTAS DE PRODUCTOS Y SERVICIOS
3034,TECNICO LABORAL EN MERCADERISTA
3035,TECNICO LABORAL EN MERCADERISTA E IMPULSADOR
3036,TECNICO LABORAL EN MERCADERISTAS E IMPULSADORES
3037,TECNICO LABORAL EN MICRO FUSION DE PIEZA DE JOYERIA
3038,TECNICO LABORAL EN MODAS Y DISEÑO
3039,TECNICO LABORAL EN MODELADO EN CERA PARA JOYERIA
3040,TECNICO LABORAL EN MODELAJE
3041,TECNICO LABORAL EN MUSICA
3042,TECNICO LABORAL EN NOMINA Y PRESTACIONES SOCIALES
3043,TECNICO LABORAL EN OPERACION DE EQUIPO MINERO
3044,TECNICO LABORAL EN OPERACION DE EQUIPOS PROGRAMACION Y CONTROL DE PROCESOS DE MECANIZADO POR ARRANQUE DE VIRUTA
3045,TECNICO LABORAL EN OPERACION DE HERRAMIENTAS INFORMATICAS
3046,TECNICO LABORAL EN OPERACION DE MAQUINARIA DE CONFECCION INDUSTRIAL
3047,TECNICO LABORAL EN OPERACION Y ADMINISTRACION DE SISTEMAS INFORMATICOS
3048,TECNICO LABORAL EN OPERACIONES ADMINISTRATIVAS Y CONTABLES
3049,TECNICO LABORAL EN OPERACIONES CONTABLES Y FINANCIERAS
3050,TECNICO LABORAL EN OPERACIONES DE PROCESOS INDUSTRIALES
3051,TECNICO LABORAL EN OPERACIONES LOGISTICAS
3052,"TECNICO LABORAL EN OPERACIÒN, MANTENIMIENTO Y ENSAMBLE DE COMPUTADORES"
3053,TECNICO LABORAL EN OPERACIÓN DE EXPORTACIONES E IMPORTACIONES Y CAMBIOS
3054,"TECNICO LABORAL EN OPERACIÓN DE MAQUINAS, HERRAMIENTAS DE CONTROL NUMERICO"
3055,TECNICO LABORAL EN OPERACIÓN DE PROGRAMAS INFORMATICOS Y BASES DE DATOS
3056,TECNICO LABORAL EN OPERACIÓN DE SISTEMAS INFORMATICOS
3057,TECNICO LABORAL EN OPERACIÓN EN BODEGAS
3058,TECNICO LABORAL EN OPERADOR DE EQUIPO PESADO
3059,TECNICO LABORAL EN OPERADOR DE MUESTRAS QUIMICAS Y AMBIENTALES
3060,TECNICO LABORAL EN OPERADOR HOTELERO Y TURISTICO
3061,"TECNICO LABORAL EN OPERADOR, CENTRO DE COMPUTO"
3062,TECNICO LABORAL EN ORGANIZACION DE BANQUETES Y EVENTOS
3063,TECNICO LABORAL EN ORGANIZACION EMPRESARIAL DE PYMES Y MIPYMES
3064,TECNICO LABORAL EN ORGANIZACIÓN Y ADMINISTRACION DE PEQUEÑAS Y MEDIANAS EMPRESAS
3065,TECNICO LABORAL EN PANADERIA
3066,TECNICO LABORAL EN PANADERIA Y PASTERIA
3067,TECNICO LABORAL EN PANADERIA Y REPOSTERIA
3068,TECNICO LABORAL EN PASTELERIA
3069,TECNICO LABORAL EN PATRONAJE Y CONFECCION DE PRENDAS DE VESTIR
3070,"TECNICO LABORAL EN PATRONAJE, CORTADOR Y CONFECCION DE MODAS"
3071,TECNICO LABORAL EN PELUQQUERIA
3072,TECNICO LABORAL EN PELUQUERO ESTILISTA
3073,TECNICO LABORAL EN PINTURA DE CONSTRUCCION EN OBRA NUEVA Y DE RESTAURACION
3074,TECNICO LABORAL EN PLANTACION Y CONSERVACION DE JARDINES
3075,TECNICO LABORAL EN POR COMPETENCIA EN AUXILIAR DE COMERCIO EXTERIOR
3076,TECNICO LABORAL EN PREESCOLAR CON ENFASIS EN RECREACION
3077,TECNICO LABORAL EN PROCEDIMIENTOS ADMINISTRATIVOS
3078,TECNICO LABORAL EN PROCEDIMIENTOS CONTABLES
3079,TECNICO LABORAL EN PROCESAMIENTO DE IMAGENES GRAFICAS
3080,TECNICO LABORAL EN PROCESAMIENTO INDUSTRIAL
3081,TECNICO LABORAL EN PROCESO DE LA ACTIVIDAD PORTUARIA
3082,TECNICO LABORAL EN PROCESO DE SOLDADURA
3083,TECNICO LABORAL EN PROCESOS CONTABLES Y FINANCIEROS
3084,TECNICO LABORAL EN PROCESOS LOGISTICOS
3085,TECNICO LABORAL EN PROCESOS RECREATIVOS Y TURISTICOS
3086,TECNICO LABORAL EN PRODUCCION DE AUDIO Y VIDEO
3087,TECNICO LABORAL EN PRODUCCION DE CONTENIDO AUDIOVISUAL PARA RADIO Y TELEVISION
3088,TECNICO LABORAL EN PRODUCCION DE MEDIOS
3089,"TECNICO LABORAL EN PRODUCCION, MANTENIMIENTO Y REPARACION DE HARDWARE"
3090,TECNICO LABORAL EN PRODUCCIÓN AGROPECUARIA ECOLOGICA
3091,TECNICO LABORAL EN PROGRAMACION Y MANTENIMIENTO DE COMPUTADORES
3092,TECNICO LABORAL EN QUIROMASAJE
3093,TECNICO LABORAL EN RECEPCION HOTELERA
3094,TECNICO LABORAL EN RECREACION
3095,TECNICO LABORAL EN REFRIGERACION COMERCIAL E INDUSTRIAL
3096,TECNICO LABORAL EN REPARACION AUDIO VIDEO Y TELEVISION
3097,TECNICO LABORAL EN REPARACION DE AUDIO VIDEO Y TELEVISION
3098,TECNICO LABORAL EN REPARACION Y ENSAMBLE DE COMPUTADORES
3099,TECNICO LABORAL EN REPARACION Y MANTENIMIENTO DE COMPUTADORES
3100,TECNICO LABORAL EN REPARACION Y MANTENIMIENTO DE COMPUTADORES Y DISPOSITIVOS MOVILES
3101,TECNICO LABORAL EN REPARACION Y MANTENIMIENTO DE ELECTRONICA DE REFRIGERACION AUTOMOTRIZ
3102,TECNICO LABORAL EN REPARACION Y MANTENIMIENTO DE MOTOCICLETAS
3103,"TECNICO LABORAL EN REPARACION, ENSAMBLE Y MANTENIMIENTO DE EQUIPOS DE COMPUTO"
3104,"TECNICO LABORAL EN REPARACION, MANTENIMIENTO E INSTALACION DE EQUIPOS Y DISPOSITIVOS ELECTRONICOS"
3105,"TECNICO LABORAL EN REPARACION, MANTENIMIENTO Y ENSAMBLE DE COMPUTADORES"
3106,TECNICO LABORAL EN REPARACIÒN Y ENSAMBLE DE COMPUTADORES
3107,TECNICO LABORAL EN REPARADOR DE COMPUTADORES  Y EQUIPO PERIFERICO
3108,TECNICO LABORAL EN REPARADOR DE EQUIPOS ELECTRONICOS
3109,TECNICO LABORAL EN SALUD AMBIENTAL
3110,TECNICO LABORAL EN SALUD OCUPACIONAL
3111,TECNICO LABORAL EN SANEAMIENTO AMBIENTAL
3112,TECNICO LABORAL EN SANEAMIENTO BASICO AMBIENTAL
3113,TECNICO LABORAL EN SECRETARIA EN EL AREA DE SALUD
3114,TECNICO LABORAL EN SECRETARIO COMERCIAL SISTEMATIZADO
3115,TECNICO LABORAL EN SECRETARIO EJECUTIVO SISTEMATIZADO
3116,TECNICO LABORAL EN SECRETARIO(A) EJECUTIVO(A) BILINGUE
3117,TECNICO LABORAL EN SEGURIDAD OCUPACIONAL
3118,TECNICO LABORAL EN SERVICIO AL CLIENTE EN TRANSPORTE DE PASAJEROS
3119,TECNICO LABORAL EN SERVICIO AL HUESPED CON ENFASIS EN HOTELERIA
