id_programa,nombre_programa
105,ADMINISTRADOR DE SISTEMAS DE INFORMACION
106,ADMINISTRADOR DE SISTEMAS INFORMATICOS
107,ADMINISTRADOR DE SISTEMAS INFORMÁTICOS
108,ADMINISTRADOR DEL COMERCIO INTERNACIONAL
109,ADMINISTRADOR DEL MEDIO AMBIENTE
110,ADMINISTRADOR DEL MEDIO AMBIENTE Y DE LOS RECURSOS NATURALES
111,ADMINISTRADOR DEPORTIVO
112,ADMINISTRADOR E INNOVADOR EN TURISMO Y HOTELES
113,ADMINISTRADOR EMPRESARIAL
114,ADMINISTRADOR EMPRESARIAL SECTORES PUBLICO Y PRIVADO
115,ADMINISTRADOR EN  SALUD
116,ADMINISTRADOR EN DESARROLLO AGROINDUSTRIAL
117,ADMINISTRADOR EN FINANZAS Y NEGOCIOS INTERNACIONALES
118,ADMINISTRADOR EN HOTELERIA Y TURISMO
119,ADMINISTRADOR EN INFORMATICA
120,ADMINISTRADOR EN LOGISTICA Y PRODUCCION
121,ADMINISTRADOR EN MERCADEO
122,ADMINISTRADOR EN RECURSOS HUMANOS
123,ADMINISTRADOR EN SALUD
124,ADMINISTRADOR EN SALUD CON ÉNFASIS EN GESTIÓN DE SERVICIOS EN SALUD
125,ADMINISTRADOR EN SALUD OCUPACIONAL
126,ADMINISTRADOR EN SALUD: ÉNFASIS EN GESTIÓN DE SERVICIOS DE SALUD Y ÉNFASIS  EN  GESTION SANITARIA Y AMBIENTAL
127,ADMINISTRADOR EN SEGURIDAD Y SALUD EN EL TRABAJO
128,ADMINISTRADOR EN SERVICIOS DE SALUD
129,ADMINISTRADOR FINANCIERO
130,ADMINISTRADOR FINANCIERO Y DE SISTEMAS
131,ADMINISTRADOR HOTELERO
132,ADMINISTRADOR HOTELERO Y TURÍSTICO
133,ADMINISTRADOR HUMANO
134,ADMINISTRADOR INDUSTRIAL
135,ADMINISTRADOR INFORMATICO
136,ADMINISTRADOR INTEGRAL DE RIESGOS DE SEGURIDAD Y SALUD EN EL TRABAJO
137,ADMINISTRADOR LOGISTICO
138,ADMINISTRADOR LOG¿STICO
139,ADMINISTRADOR LOGÍSTICO
140,ADMINISTRADOR MARITIMO
141,ADMINISTRADOR MARITIMO Y FLUVIAL
142,ADMINISTRADOR MARITIMO Y PORTUARIO
143,ADMINISTRADOR MARÍTIMO Y PORTUARIO
144,ADMINISTRADOR POLICIAL
145,ADMINISTRADOR PUBLICO
146,ADMINISTRADOR P¿BLICO
147,ADMINISTRADOR PÚBLICO
148,ADMINISTRADOR TECNOLOGICO
149,ADMINISTRADOR TECNOLÓGICO
150,ADMINISTRADOR TURISTICA Y DEL PATRIMONIO
151,ADMINISTRADOR TURISTICO
152,ADMINISTRADOR TURISTICO Y HOTELERO
153,ADMINISTRADOR TUR¿STICO
154,ADMINISTRADOR TURÍSTICO
155,ADMINISTRADOR TURÍSTICO Y HOTELERO
156,ADMINISTRADOR Y DIRECTOR DE EMPRESAS
157,ADMINISTRADOR Y GESTION DE EMPRESA
158,ADMINISTRADOR Y PLANIFICADOR EN PROYECTOS ECOTURISTICOS
159,ADMINISTRADOR(A)  DE EMPRESAS
160,ADMINISTRADOR(A) AGROPECUARIO(A)
161,ADMINISTRADOR(A) DE EMPRESAS
162,ADMINISTRADOR(A) DE EMPRESAS AGROPECUARIAS
163,ADMINISTRADOR(A) DE MERCADEO
164,ADMINISTRADOR(A) DE NEGOCIOS INTERNACIONALES
165,ADMINISTRADOR(A) DE SISTEMAS INFORMATICOS
166,ADMINISTRADOR(A) EN SALUD: ÉNFASIS EN GESTIÓN DE SERVICIOS DE SALUD Y ÉNFASIS EN GESTIÓN SANITARIA Y AMBIENTAL
167,ADMINISTRADOR(A) EN SEGURIDAD Y SALUD EN EL TRABAJO
168,ADMINISTRADOR(A) FINANCIERO
169,ADMINISTRADOR(A) FINANCIERO(A)
170,ADMINSTRADOR DE EMPRESAS
171,ADMNISTRADOR PUBLICO
172,ADMONISTRADOR(A) DE EMPRESAS
173,"AGENTE DE SERVICIOS EN LINEAS AEREAS, MARITIMAS Y TERRESTRES"
174,AGENTE DE TURISMO
175,AGENTE DE VENTAS Y PUBLICIDAD
176,AGENTE DE VIAJES Y TURISMO
177,AGONOMO
178,AGROECÓLOGO
179,AGROLOGO
180,AGRONOMO
181,AGRONOMO DEL TROPICO HUMEDO
182,AGROZOOTECNISTA
183,ANALISIS DE INFORMACION CONTABLE Y FINANCIERA
184,ANALISIS DE LA INFORMACION CONTABLE Y FINANCIERA
185,ANALISIS Y DESARROLLO DE SISTEMAS DE INFORMACION
186,ANALISIS Y PRODUCCION DE LA INFORMACION ADMINISTRATIVA
187,ANALISIS Y PROGRAMACION DE COMPUTADORES
188,ANALISIS Y PROGRAMACION DE SISTEMAS
